,title,genre,description
339,Witness to Passion,Romantic Suspense,"Under his protection and in his bed…For Fallon Wayland, birthdays are just another reminder of her looming spinsterhood. This year is shaping up to be no different. Unfairly fired from her job, dumped by her boyfriend, and oh yes, witnessing the murder of a high-ranking lieutenant in the local crime family… Yeah, birthdays suck.Ever since a disastrous, hot-as-hell kiss years ago, soldier-turned-security specialist Shane Roarke has avoided his baby sister’s reckless—and gorgeous—best friend. Yet when her life is threatened after she witnesses a gang hit, he insists on protecting her…even if she objects. The two are forced to hole up in a safe house. Alone. Passion long denied erupts between them, burning away their inhibitions. But even as layers—and clothes—are peeled away, danger closes in. Shane and Fallon might finally have a chance at love…if they survive long enough to see it."
340,Hard as It Gets,Romance,"..Trouble just walked into Nicholas Rixey's tattoo parlor. Becca Merritt is warm, sexy, wholesome--pure temptation to a very jaded Nick. He's left his military life behind to become co-owner of Hard Ink Tattoo, but Becca is his ex-commander's daughter. Loyalty won't let him turn her away. Lust has plenty to do with it too.With her brother presumed kidnapped, Becca needs Nick. She just wasn't expecting to want him so much. As their investigation turns into all-out war with an organized crime ring, only Nick can protect her. And only Becca can heal the scars no one else sees.Desire is the easy part. Love is as hard as it gets. Good thing Nick is always up for a challenge.."
341,Broken,Romantic Suspense,"Ex-SEAL and LOST founder Gabe Spencer is accustomed to the unusual in his job. But when knockout Eve Gray steps into his office, he's rattled. For the mysterious woman is a dead ringer for the heiress thought to be the latest prey of the serial killer who goes by the name Lady Killer.When Eve awoke in an Atlanta hospital, her past was a blank slate. Then she recognized her own face in the newspaper and vowed to learn the truth. Determined to confront the nightmares hidden in her mind, she never expects to find a partner in Gabe.As Gabe and Eve work together, their explosive attraction becomes irresistible. Gabe knows that his desire for Eve is growing too strong, bordering on a dangerous obsession, but nothing pulls him away from her. And when another Eve lookalike disappears, Gabe vows to protect Eve at all costs. While Eve may have forgotten the killer in her past, it's clear he hasn't forgotten her."
342,Beg for Mercy,Romantic Suspense,"He lurks in the shadows, waiting and watching . . . And once he has you, all you can do is. . .Beg For MercyMegan Flynn thought she was falling in love. Cole Williams wasn't just handsome and passionate, he was one of the good guys. Or so she thought, until he arrested her brother-the only family she has left-for a murder she knows he couldn't have possibly committed. Now, with her heart broken and her brother's life hanging in the balance, Megan will risk everything to prove his innocence. Even if that means throwing herself into the path of a killer with a hauntingly familiar MO.Seattle Detective Cole Williams had given up on making Megan see reason where her brother is concerned. But when she insinuates herself into the most shockingly brutal case Cole has ever worked, he can't stand idly by. Plunged into a secret world where the city's elite indulge their darkest desires, Cole will do whatever it takes to bring down a madman who has made Megan his most coveted prey."
343,Hotter After Midnight,Paranormal,"A Seductive Nighttime World. . . Dr. Emily Drake's psychotherapy patients tend to be a little unusual. Instead of midlife crises and mother fixations, Emily treats vampires with blood phobias and sex-demons looking for meaningful relationships. But healing these powerful beings requires an important rule: Never trust a shifter. Especially not one like Detective Colin Gyth, whose gold-flecked eyes and predatory air make Emily realize how much she longs to lose control. . .A Dark And Dangerous Hunger. . .Colin can't believe the doctor he has to work with on the Night Butcher murder case is the one person who could expose his true identity as a wolf shifter. Smart and sexy, Emily brings out the alpha male in Colin, unleashing a wild desire that takes them both over the edge. . . But in the shadows, the Night Butcher waits, eager to spill Emily's blood and taste her terror. And he'll use any means to destroy her, including the one person she has grown to trust. . ."
344,When You Dare,Romance,"The tougher they are, the harder they fall…Professional mercenary Dare Macintosh lives by one hard and fast rule: business should never be personal. If a cause appeals to him and the price is right, he'll take the mission he's offered. But then the lovely Molly Alexander asks him to help her track down the men who'd had her kidnapped—and for the first time, Dare's tempted to combine work with pleasure.Fiercely independent, Molly vows to trust no one until she's uncovered the truth. Could the enemy be her powerful, estranged father? The ex-fiancé who still holds a grudge? Or the not-so-shy fan of her bestselling novels? As the danger heats up around them, the only anchor Molly has is Dare himself. But what she feels for him just might be the most frightening thing of all…"
345,Burn for Me,Urban Fantasy,"Nevada Baylor is faced with the most challenging case of her detective career—a suicide mission to bring in a suspect in a volatile case. Nevada isn't sure she has the chops. Her quarry is a Prime, the highest rank of magic user, who can set anyone and anything on fire.Then she's kidnapped by Connor ""Mad"" Rogan—a darkly tempting billionaire with equally devastating powers. Torn between wanting to run or surrender to their overwhelming attraction, Nevada must join forces with Rogan to stay alive.Rogan's after the same target, so he needs Nevada. But she's getting under his skin, making him care about someone other than himself for a change. And, as Rogan has learned, love can be as perilous as death, especially in the magic world."
346,Rules of Protection,Romance,"It's rule breaker Emily Foster's birthday, and like everyone at The Jungle Room, she just wants to get some action. Unfortunately, she stumbles on the wrong kind, witnessing a mob hit. To protect her, she's entered into the Witness Protection Program with by-the-book Special Agent Jake Ward as her chaperone.When the location of their safe house is compromised, Jake stashes Emily deep in the Texas backwoods. The city-girl might be safe from the Mafia, but she has to contend with a psychotic rooster, a narcoleptic dog, crazy cowboys, and the danger of losing her heart to the one man she can't have.Jake's as hot as he is infuriating, and she can't help but push all his buttons to loosen him up. Their mutual, sizzling sexual attraction poses a Jake's determined to keep her safe and out of the wrong hands; she's determined to get into the right ones—his.Each book in the Tangled in Texas series is a standalone, full-length story that can be enjoyed out of order.Series Book #1 Rules of ProtectionBook #2 Playing With Fire"
347,Cry No More,Romance,"Fueled by an obsession to fill the void in other people’s lives, Milla Edge finds lost children—all the while trying to outrun the brutal emotions stemming from a tragedy in her past. Traveling to a small village in Mexico on a reliable tip, Milla begins to uncover the dire fate of countless children who have disappeared in the labyrinth of a sinister baby-smuggling ring. The key to nailing down the organization may rest with an elusive one-eyed man. As Milla’s search for him intensifies, the mission becomes more treacherous. For the ring is part of something far larger and more dangerous, reaching the highest echelons of power. Racing into peril, Milla suddenly finds herself the hunted—in the crosshairs of an invisible, lethal assassin who aims to silence her permanently."
348,Text,Romance,"***This is a new adult contemporary novel and contains sexual content and graphic language. It is not intended for young adult readers.*** One text can change everything. Honor Calhoun never thought her life would ever be like the books she writes for a living. One morning while out for a run, she learns not all bad things are plots in novels. Some horrors can actually come true. She faces off with a persistent attacker, holds her own, but in the end is taken hostage and thrown into a hole. In the middle of the woods. But Honor didn’t go down there alone. She took her kidnapper’s phone with her. With a spotty signal and a dying battery, her hope is slim. Nathan Reed is an active duty Marine stationed at a small reserve base in Pennsylvania. All he wants is a calm and uneventful duty station where he can forget the memories of his time in a war-torn country. But a single text changes everything. Nathan becomes Honor’s only hope for survival, and he has to go against the clock, push aside his past, and take on a mission for a girl he’s never met. Both of them want freedom… but they have to survive long enough to obtain it."
349,How to Solve Your Own Murder,Mystery,"For fans of Knives Out and The Thursday Murder Club, an enormously fun mystery about a woman who spends her entire life trying to prevent her foretold murder only to be proven right sixty years later, when she is found dead in her sprawling country estate... Now it's up to her great-niece to catch the killer. It’s 1965 and teenage Frances Adams is at an English country fair with her two best friends. But Frances’s night takes a hairpin turn when a fortune-teller makes a bone-chilling prediction: One day, Frances will be murdered. Frances spends a lifetime trying to solve a crime that hasn’t happened yet, compiling dirt on every person who crosses her path in an effort to prevent her own demise. For decades, no one takes Frances seriously, until nearly sixty years later, when Frances is found murdered, like she always said she would be. In the present day, Annie Adams has been summoned to a meeting at the sprawling country estate of her wealthy and reclusive great-aunt Frances. But by the time Annie arrives in the quaint English village of Castle Knoll, Frances is already dead. Annie is determined to catch the killer, but thanks to Frances’s lifelong habit of digging up secrets and lies, it seems every endearing and eccentric villager might just have a motive for her murder. Can Annie safely unravel the dark mystery at the heart of Castle Knoll, or will dredging up the past throw her into the path of a killer? As Annie gets closer to the truth, and closer to the danger, she starts to fear she might inherit her aunt’s fate instead of her fortune."
350,The Last Murder at the End of the World,Mystery,"Solve the murder to save what's left of the world.Outside the island there is nothing: the world was destroyed by a fog that swept the planet, killing anyone it touched.On the island: it is idyllic. One hundred and twenty-two villagers and three scientists, living in peaceful harmony. The villagers are content to fish, farm and feast, to obey their nightly curfew, to do what they're told by the scientists.Until, to the horror of the islanders, one of their beloved scientists is found brutally stabbed to death. And then they learn that the murder has triggered a lowering of the security system around the island, the only thing that was keeping the fog at bay. If the murder isn't solved within 107 hours, the fog will smother the island—and everyone on it.But the security system has also wiped everyone's memories of exactly what happened the night before, which means that someone on the island is a murderer—and they don't even know it.And the clock is ticking."
351,Where Sleeping Girls Lie,Mystery,"It’s like I keep stumbling into a dark room, searching for the switch to make things bright again. To make me remember. But the switch isn’t there. Was it there before?Sade Hussein is starting her third year of high school, this time at the prestigious Alfred Nobel Academy boarding school. After being home-schooled all her life and feeling like a magnet for misfortune, she’s not sure what will happen. What she doesn’t expect though is for her roommate Elizabeth to disappear after Sade’s first night. Or for people to think she had something to do with it.With rumors swirling around her, Sade catches the attention of the most popular girls in school – collectively known as the ‘Unholy Trinity’ – and they bring her into their fold. Between learning more about them - especially Persephone, who Sade finds herself drawn to - playing catch-up in class, and trying to figure out what happened to Elizabeth, Sade has a lot on her plate. It doesn’t help that she’s already dealing with grief from the many tragedies in her family.And then a student is found dead.The more Sade investigates, the more she realizes there’s more to Alfred Nobel Academy and its students than she realized. Secrets lurk around every corner and beneath every surface…secrets that rival even her own."
352,The Mystery Writer,Mystery,"A literary thriller about an aspiring writer who meets and falls in love with her literary idol—only to find him murdered the day after she gave him her manuscript to read. There's nothing easier to dismiss than a conspiracy theory—until it turns out to be trueWhen Theodosia Benton abandons her career path as an attorney and shows up on her brother's doorstep with two suitcases and an unfinished novel, she expects to face a few challenges. Will her brother support her ambition or send her back to finish her degree? What will her parents say when they learn of her decision? Does she even have what it takes to be a successful writer?What Theo never expects is to be drawn into a hidden literary world in which identity is something that can be lost and remade for the sake of an audience. When her mentor, a highly successful author, is brutally murdered, Theo wants the killer to be found and justice to be served. Then the police begin looking at her brother, Gus, as their prime suspect, and Theo does the unthinkable in order to protect him. But the writer has left a trail, a thread out of the labyrinth in the form of a story. Gus finds that thread and follows it, and in his attempt to save his sister he inadvertently threatens the foundations of the labyrinth itself. To protect the carefully constructed narrative, Theo Benton, and everyone looking for her, will have to die."
353,Floating Hotel,Science Fiction,"Welcome to the Grand Abeona Hotel: home of the finest food, the sweetest service, and the very best views the galaxy has to offer. All year round it moves from planet to planet, system to system, pampering guests across the furthest reaches of the milky way. The last word in sub-orbital luxury—and an absolute magnet for intrigue. Intrigues such as: Why are there love poems in the lobby inbox? How many Imperial spies are currently on board? What is the true purpose of the Problem Solver's conference? And perhaps most pertinently—who is driving the ship? Each guest has a secret, every member of staff a universe unto themselves. At the center of these interweaving lives and interlocking mysteries stands Carl, one time stowaway, longtime manager, devoted caretaker to the hotel. It's the love of his life and the only place he's ever called home. But as forces beyond Carl's comprehension converge on the Abeona, he has to face one final question: when is it time to let go?"
354,Off the Air,Mystery,"Equal parts thought-provoking and entertaining, Emmy Award winning reporter Christina Estes introduces Jolene Garcia in her Tony Hillerman Prize winning debut, Off the Air .Jolene Garcia is a local TV reporter in Phoenix, Arizona, splitting her time between covering general assignments―anything from a monsoon storm to a newborn giraffe at the zoo―and special projects. Stories that take more time to research and produce. Stories that Jolene wants to tell.When word gets out about a death at a radio station, Jolene and other journalists swarm the scene, intent on reporting the facts first. The body is soon identified as Larry Lemmon, a controversial talk show host, who died under suspicious circumstances. Jolene conducted his final interview, giving her and her station an advantage. But not for long.As the story heats up, so does the competition. Jolene is determined to solve this murder. It’s an investigation that could make or break her career―if it doesn't break her first."
355,A Grave Robbery,Mystery,"Lord Rosemorran has purchased a wax figure of a beautiful reclining woman and asks Stoker to incorporate a clockwork mechanism to give the Rosemorran Collection its own Sleeping Beauty in the style of Madame Tussaud’s. But when Stoker goes to cut the mannequin open to insert the mechanism, he makes a gruesome discovery: this is no wax figure. The mannequin is the beautifully preserved body of a young woman who was once very much alive. But who would do such a dreadful thing, and why? Sleuthing out the answer to this question sets Veronica and Stoker on their wildest adventure yet. From the underground laboratories of scientists experimenting with electricity to resurrect the dead in the vein of Frankenstein to the traveling show where Stoker once toured as an attraction, the gaslit atmosphere of London in October is the perfect setting for this investigation into the unknown. Through it all, the intrepid pair is always one step behind the latest villain—a man who has killed once and will stop at nothing to recover the body of the woman he loved. Will they unmask him in time to save his next victim? Or will they become the latest figures to be immortalized in his collection of horrors?"
356,The Extinction of Irena Rey,Fiction,"Eight translators arrive at a house in a forest on the border of Belarus. It belongs to the world-renowned author Irena Rey, and they are there to translate her magnum opus, Gray Eminence. But within days of their arrival, Irena disappears without a trace.The translators, who hail from eight different countries but share the same reverence for their beloved author, begin to investigate where she may have gone while proceeding with work on her masterpiece. They explore this ancient wooded refuge with its intoxicating slime molds and lichens, and study her exotic belongings and layered texts for clues. But doing so reveals secrets — and deceptions — of Irena Rey's that they are utterly unprepared for. Forced to face their differences as they grow increasingly paranoid in this fever dream of isolation and obsession, soon the translators are tangled up in a web of rivalries and desire, threatening not only their work but the fate of their beloved author herself.This hilarious, thought-provoking second outing by award-winning translator and author Jennifer Croft is a brilliant examination of art, celebrity, the natural world, and the power of language. It is an unforgettable, unputdownable adventure with a small but global cast of characters shaken by the shocks of love, destruction, and creation in one of Europe’s last great wildernesses."
357,The Summer She Went Missing,Mystery,"Last summer, they searched for Audrey Covington. This summer, they'll search for the truth. Paige Redmond has always felt lucky to spend her summers in Clearwater Ridge, with lazy days sunning at the waterfalls and nights partying at the sprawling houses of the rich families who vacation there. The Covingtons are one of these families, and beautiful, brilliant Audrey Covington is Paige's best friend. And last year, when Audrey's crush-worthy brother Dylan finally started noticing Paige, she was sure it would be the best summer ever. Except Audrey didn't seem quite like herself. Then one night, she didn't come home. Though Audrey wasn't the first girl to disappear in Clearwater Ridge, she left behind more lies than clues. Now, one summer later, her case has gone cold, and nobody, least of all Paige, can make sense of what happened. When Paige stumbles across a secret hidden in Audrey's room, however, it changes everything she thought she knew about last summer. She and Dylan set out on their own investigation, discovering things even the police don't know about the people of Clearwater Ridge. But tracking down missing girls―girls who might be beyond saving by now―means entering a world far darker than Paige has ever imagined. And if she isn't careful, she'll become the next girl to vanish."
358,The Other Lola,Young Adult,"No more mysteries, no more podcasts, and no more sticking their heads where they don’t belong.Until Mattie Brosillard, a freshman at their high school, shows up on their doorstep, begging Cam and Blair for help. Mattie's sister Lola disappeared mysteriously five years ago. No trace of her was ever found. Now, she's back--but Mattie is convinced the girl who returned is an impostor. Nobody believes Mattie's wild story--not Mattie's brother, not Mattie's mother, and not even Cam and Blair. But something is definitely wrong in the Brosillard family. And Blair has her own reasons for wanting to know what really happened to Lola while she was gone.With Cam and Blair still struggling with the aftermath of their first mystery―and with new secrets swirling between them―the stakes are higher than ever in this can’t-miss sequel to Missing Clarissa."
359,The Love Remedy,Romance,"When a Victorian apothecary hires a stoic private investigator to protect her business, they learn there’s only one way to treat true love—with a happily ever after.When Lucinda Peterson’s recently perfected formula for a salve to treat croup goes missing, she’s certain it’s only the latest in a line of misfortunes at the hands of a rival apothecary. Outraged and fearing financial ruin, Lucy turns to private investigator Jonathan Thorne for help. She just didn’t expect her champion to be so . . . grumpy?A single father and an agent at Tierney & Co., Thorne accepts missions for a wide variety of employers—from the British government to wronged wives. None have intrigued him so much as the spirited Miss Peterson. As the two work side by side to unmask her scientific saboteur, Lucy slips ever so sweetly under Thorne’s battered armor, tempting him to abandon old promises.With no shortage of suspects—from a hostile political group to an erstwhile suitor—Thorne’s investigation becomes a threat to all that Lucy holds dear. As the truth unravels around them the cure to their problems is they must face the future together."
360,Rainbow Black,Mystery,"Lacey Bond is a thirteen-year-old girl in New Hampshire growing up in the tranquility of her hippie parents’ rural daycare center. Then the Satanic Panic hits. It’s the summer of 1990 when Lacey’s parents are handcuffed, flung into the county jail, and faced with a torrent of jaw-dropping accusations as part of a mass hysteria sweeping the nation. When a horrific murder brings Lacey to the breaking point, she makes a ruthless choice that will haunt her for decades."
361,To Slip the Bonds of Earth,Historical Fiction,"While not as famous as her older siblings Wilbur and Orville, the celebrated inventors of flight, Katharine Wright is equally inventive – especially when it comes to solving crimes – in USA Today bestselling author Amanda Flower’s radiant new historical mystery series inspired by the real sister of the Wright Brothers.December 1903: While Wilbur and Orville Wright’s flying machine is quite literally taking off in Kitty Hawk, North Carolina with its historic fifty-seven second flight, their sister Katharine is back home in Dayton, Ohio, running the bicycle shop, teaching Latin, and looking after the family. A Latin teacher and suffragette, Katharine is fiercely independent, intellectual, and the only Wright sibling to finish college. But at twenty-nine, she’s frustrated by the gender inequality in academia and is for a new challenge. She never suspects it will be sleuthing…Returning home to Dayton, Wilbur and Orville accept an invitation to a friend’s party. Nervous about leaving their as-yet-unpatented flyer plans unattended, Wilbur decides to bring them to the festivities . . . where they are stolen right out from under his nose. As always, it’s Katharine’s job to problem solve—and in this case, crime-solve.As she sets out to uncover the thief among their circle of friends, Katharine soon gets more than she bargained She finds her number one suspect dead with a letter opener lodged in his chest. It seems the patent is the least of her brothers’ worries. They have a far more earthbound concern—prison. Now Katharine will have to keep her feet on the ground and put all her skills to work to make sure Wilbur and Orville are free to fly another day."
362,Sleeping Giants,Mystery,"Twenty years ago, a nine-year-old boy was swept away by powerful waves on a remote Oregon beach, his body lost to the sea. Only a stone memorial remains to mark his tragic death. For most of her life, Amanda Dufresne had no idea she had an older brother named Dennis Owens, or that he had died. Adopted as a baby, she learned about him while looking into her late birth mother, and is curious to know more about this lost sibling. A solitary young woman, Amanda has always felt distanced from the world around her. Her brain works differently from others, leaving her feeling set apart. Her one true companion is the orphaned polar bear she cares for working at the zoo. By getting to know her birth family, she hopes to understand more about herself. Retired police officer Larry Palmer is a widower with nothing but time and in need of a purpose. He offers to help Amanda find answers. The search leads to shocking and heartbreaking discoveries. Dennis Owen had been a forgotten foster child abandoned to a home for disturbed boys off the coast. As Amanda and Larry dig deeper into the past, the two stumble upon decades of cruelty and hidden crimes—including a barbaric treatment still used today. Told in Rene Denfeld’s inimitable style, Sleeping Giants is an enthralling and heartbreaking novel that burrows deep in the heart and will leave no reader untouched."
363,One Last Breath,Young Adult,"The perfect blend of Natasha Preston, Krystal Sutherland, and Delia Owens, with a paranormal twist.Mount Orange, Florida, is famous for two things. The spectre of Bailey and Celeste's murders cast a permanent darkness over sunny Mount Orange. Tru has always lived in that shadow. Sometimes, it seems like she knows the long-dead Bailey, feels the dead girl in her bones. Now she's supposed to head to FSU in the fall with her boyfriend, but those unsolved murders - and the death of her own sister - invade her every thought. It’s only in the shadowy deep, 100 feet below the surface of Hidden Glen Springs, that she can breathe. When a strange girl named Rio rolls into town, hell-bent on figuring out who killed Bailey and Celeste, Tru can't resist entangling herself in the thrill of solving the decades old mystery any more than she can resist her familiar, aching attraction to Rio.As the summer heat ignites, so does the spark between Tru and Rio...along with their other-worldy connection to Bailey and Celeste. But when someone begins stalking them, the girls become convinced the killer is back in town. And if they keep digging into the past, Tru and Rio know this time, it could be their blood that makes the springs run red."
364,The Housemaid's Secret,Thriller,"As he continues showing me their incredible penthouse apartment, I have a terrible feeling about the woman behind closed doors. But I can't risk losing this job – not if I want to keep my darkest secret safe . . .It's hard to find an employer who doesn't ask too many questions about my past. So I thank my lucky stars that the Garricks miraculously give me a job, cleaning their stunning penthouse with views across the city and preparing fancy meals in their shiny kitchen. I can work here for a while, stay quiet until I get what I want. It's almost perfect. But I still haven't met Mrs Garrick, or seen inside the guest bedroom. I'm sure I hear her crying. I notice spots of blood around the neck of her white nightgowns when I'm doing laundry. And one day I can't help but knock on the door. When it gently swings open, what I see inside changes everything...That's when I make a promise. After all, I've done this before. I can protect Mrs. Garrick while keeping my own secrets locked up safe. Douglas Garrick has done wrong. He is going to pay. It's simply a question of how far I'm willing to go..."
365,The Guest List,Mystery,"A wedding celebration turns dark and deadly in this deliciously wicked and atmospheric thriller reminiscent of Agatha Christie from the New York Times bestselling author of The Hunting Party.The bride – The plus one – The best man – The wedding planner – The bridesmaid – The bodyOn an island off the coast of Ireland, guests gather to celebrate two people joining their lives together as one. The groom: handsome and charming, a rising television star. The bride: smart and ambitious, a magazine publisher. It’s a wedding for a magazine, or for a celebrity: the designer dress, the remote location, the luxe party favors, the boutique whiskey. The cell phone service may be spotty and the waves may be rough, but every detail has been expertly planned and will be expertly executed.But perfection is for plans, and people are all too human. As the champagne is popped and the festivities begin, resentments and petty jealousies begin to mingle with the reminiscences and well wishes. The groomsmen begin the drinking game from their school days. The bridesmaid not-so-accidentally ruins her dress. The bride’s oldest (male) friend gives an uncomfortably caring toast.And then someone turns up dead. Who didn’t wish the happy couple well? And perhaps more important, why?"
366,"Good Girl, Bad Blood",Mystery,"Pip is not a detective anymore.With the help of Ravi Singh, she released a true-crime podcast about the murder case they solved together last year. The podcast has gone viral, yet Pip insists her investigating days are behind her.But she will have to break that promise when someone she knows goes missing. Jamie Reynolds has disappeared, on the very same night the town hosted a memorial for the sixth-year anniversary of the deaths of Andie Bell and Sal Singh.The police won't do anything about it. And if they won't look for Jamie then Pip will, uncovering more of her town's dark secrets along the way... and this time everyone is listening. But will she find him before it's too late?"
367,The Maid,Mystery,"Molly Gray is not like everyone else. She struggles with social skills and misreads the intentions of others. Her gran used to interpret the world for her, codifying it into simple rules that Molly could live by. Since Gran died a few months ago, twenty-five-year-old Molly has been navigating life's complexities all by herself. No matter—she throws herself with gusto into her work as a hotel maid. Her unique character, along with her obsessive love of cleaning and proper etiquette, make her an ideal fit for the job. She delights in donning her crisp uniform each morning, stocking her cart with miniature soaps and bottles, and returning guest rooms at the Regency Grand Hotel to a state of perfection. But Molly's orderly life is upended the day she enters the suite of the infamous and wealthy Charles Black, only to find it in a state of disarray and Mr. Black himself dead in his bed. Before she knows what's happening, Molly's unusual demeanor has the police targeting her as their lead suspect. She quickly finds herself caught in a web of deception, one she has no idea how to untangle. Fortunately for Molly, friends she never knew she had unite with her in a search for clues to what really happened to Mr. Black—but will they be able to find the real killer before it's too late? A Clue-like, locked-room mystery and a heartwarming journey of the spirit, The Maid explores what it means to be the same as everyone else and yet entirely different—and reveals that all mysteries can be solved through connection to the human heart."
368,A Flicker in the Dark,Thriller,"When Chloe Davis was twelve, six teenage girls went missing in her small Louisiana town. By the end of the summer, Chloe’s father had been arrested as a serial killer and promptly put in prison. Chloe and the rest of her family were left to grapple with the truth and try to move forward while dealing with the aftermath.Now 20 years later, Chloe is a psychologist in private practice in Baton Rouge and getting ready for her wedding. She finally has a fragile grasp on the happiness she’s worked so hard to get. Sometimes, though, she feels as out of control of her own life as the troubled teens who are her patients. And then a local teenage girl goes missing, and then another, and that terrifying summer comes crashing back. Is she paranoid, and seeing parallels that aren't really there, or for the second time in her life, is she about to unmask a killer?In a debut novel that has already been optioned for a limited series by actress Emma Stone and sold to a dozen countries around the world, Stacy Willingham has created an unforgettable character in a spellbinding thriller that will appeal equally to fans of Gillian Flynn and Karin Slaughter."
369,Cut and Thirst,Short Stories,"Myrna, Leonie, and Chrissy meet every Thursday to sample fine cheeses, to reminisce about their former lives as professors, and lately, to muse about murder. Decades ago, a vicious cabal of male poets contrived—quite publicly and successfully—to undermine the writing career, confidence, and health of their dear friend Fern. Now, after Fern has taken a turn for the worse, her three old friends decide that it’s finally time to strike back—in secret, of course, since Fern is far too gentle to approve of a vendetta. All they need is a plan with suitably Shakespearean drama. But as sweet and satisfying as revenge can be, it’s not always so cut and dried."
370,All Good People Here,Mystery,"Margot Davies was six at the time, the same age as January—and they were next-door neighbors. In the twenty years since, Margot has grown up, moved away, and become a big-city journalist, but she’s always been haunted by the fear that it could’ve been her. And the worst part is, January’s killer has never been brought to justice.When Margot returns home to help care for her sick uncle, it feels like walking into a time capsule. Wakarusa is exactly how she remembered: genial, stifled, secretive. Then news breaks about five-year-old Natalie Clark from the next town over, who’s gone missing under eerily similar circumstances. With all the old feelings rushing back, Margot vows to find Natalie and solve January’s murder once and for all.But the police, the family, the townspeople—they all seem to be hiding something. And the deeper Margot digs into Natalie’s disappearance, the more resistance she encounters, and the colder January’s case feels. Could the killer still be out there? Could it be the same person who kidnapped Natalie? And what will it cost to finally discover what truly happened that night?In the propulsive debut novel from the host of the #1 true crime podcast ""Crime Junkie,"" a journalist uncovers her hometown’s dark secrets when she becomes obsessed with the unsolved murder of her childhood neighbor—and the disappearance of another girl twenty years later."
371,The Paris Apartment,Mystery,"She’s broke and alone, and she’s just left her job under less than ideal circumstances. Her half-brother Ben didn’t sound thrilled when she asked if she could crash with him for a bit, but he didn’t say no, and surely everything will look better from Paris. Only when she shows up – to find a very nice apartment, could Ben really have afforded this? – he’s not there.The longer Ben stays missing, the more Jess starts to dig into her brother’s situation, and the more questions she has. Ben’s neighbors are an eclectic bunch, and not particularly friendly. Jess may have come to Paris to escape her past, but it’s starting to look like it’s Ben’s future that’s in question.The socialite – The nice guy – The alcoholic – The girl on the verge – The conciergeEveryone’s a neighbor. Everyone’s a suspect. And everyone knows something they’re not telling."
372,Toxic Prey,Mystery,"Gaia is dying.That, at least, is what Dr. Lionel Scott believes. A renowned expert in tropical and infectious diseases, Scott has witnessed the devastating impact of illness and turmoil at critical scale. Society as it exists is untenable, and the direct link to Earth’s death spiral; population levels are out of control and people have allowed disarray and disorder to run rampant. While most are concerned about deadly disease, Scott knows that it is truly humanity itself that will destroy Gaia. It’s only by removing the threat then the planet can continue to prosper, and luckily, Scott is just the right man for the job…When Scott then disappears without a trace, Letty Davenport is tasked with tracking down any and all leads. Scott’s connections to sensitive research into virus and pathogen spread has multiple national and international organizations on high alert, and his shockingly high clearance levels at various institutions, including the Los Alamos National Laboratory, make him the last person they’d like to go missing. As the web around Scott becomes more tangled, Letty calls in her father, Lucas, help her lead a group of specialists to find Scott as soon as possible. But as Letty and Lucas begin to uncover startling and disturbing connections between Scott and Gaia conspiracists, their worst fears are confirmed, and it quickly becomes a race to find him before the virus he created becomes the perfect weapon."
373,The Husbands,Fiction,"There’s only one problem—she’s not married. She’s never seen this man before in her life. But according to her friends, her much-improved decor, and the photos on her phone, they’ve been together for years.As Lauren tries to puzzle out how she could be married to someone she can’t remember meeting, Michael goes to the attic to change a lightbulb and abruptly disappears. In his place, a new man emerges, and a new, slightly altered life re-forms around her. Realizing that her attic is creating an infinite supply of husbands, Lauren confronts the question: If swapping lives is as easy as changing a lightbulb, how do you know you’ve taken the right path? When do you stop trying to do better and start actually living?"
374,The Family Upstairs,Thriller,"An alternative cover edition for this ISBN can be found here.Soon after her twenty-fifth birthday, Libby Jones returns home from work to find the letter she’s been waiting for her entire life. She rips it open with one driving thought: I am finally going to know who I am. She soon learns not only the identity of her birth parents, but also that she is the sole inheritor of their abandoned mansion on the banks of the Thames in London’s fashionable Chelsea neighborhood, worth millions. Everything in Libby’s life is about to change. But what she can’t possibly know is that others have been waiting for this day as well—and she is on a collision course to meet them. Twenty-five years ago, police were called to 16 Cheyne Walk with reports of a baby crying. When they arrived, they found a healthy ten-month-old happily cooing in her crib in the bedroom. Downstairs in the kitchen lay three dead bodies, all dressed in black, next to a hastily scrawled note. And the four other children reported to live at Cheyne Walk were gone. The can’t-look-away story of three entangled families living in a house with the darkest of secrets."
